sample-id	date
SRR6861516	4/27/17
SRR6861029	7/29/2017
SRR6861028	6/15/2017
SRR6861027	6/1/17
SRR6861026	7/13/2017
SRR6861025	6/29/2017
SRR6861024	12/06/2016
SRR6861023	12/15/2016
SRR6861022	9/28/2016
SRR6861021	10/20/2016
SRR6861020	11/03/2016
SRR6861019	11/17/2016
SRR6861018	5/18/2016
SRR6861017	7/12/2016
SRR6861016	8/5/2016
SRR6861015	8/29/2016
SRR6861014	5/12/2017
SRR6861013	5/23/2017
SRR6861012	12/29/2016
SRR6861011	1/12/2017
SRR6861010	1/26/2017
SRR6861009	2/9/2017
SRR6861008	2/23/2017
SRR6861007	3/9/2017
SRR6861006	3/30/2017
SRR6861005	04/13/2017
